sample,sample_label,reaction,reaction_label,n,alpha,gamma,gamma_ci_lower,gamma_ci_upper,test_gamma_equals_one_t,p_value_gamma_equals_one,r_squared,reaction_change_10_pct,rate_change_10_pct,reaction_change_doubling_pct,rate_change_doubling_pct
full,Pełna próba,likes,Polubienia,103,-1.12175888,0.78596647,0.72492268,0.84701027,-6.95541530,0.00000000,0.91047418,7.77877985,-2.01929105,72.42470170,-13.78764915
full,Pełna próba,comments,Komentarze,103,-3.55757808,0.81902629,0.74892012,0.88913246,-5.12084953,0.00000146,0.82101274,8.11891960,-1.71007309,76.42148771,-11.78925614
full,Pełna próba,shares,Udostępnienia,103,-6.88248156,1.06541933,0.95813945,1.17269920,1.20968025,0.22922541,0.77706783,10.68800672,0.62546065,109.27780656,4.63890328
full,Pełna próba,active_reactions,Komentarze + udostępnienia,103,-3.97677448,0.90432840,0.84140111,0.96725569,-3.01596824,0.00324058,0.86438878,9.00152669,-0.90770301,87.16729966,-6.41635017
without_top7,Bez TOP 7,likes,Polubienia,96,-0.34590045,0.70112793,0.62670795,0.77554791,-7.97390024,0.00000000,0.83275956,6.91079712,-2.80836625,62.57753617,-18.71123191
without_top7,Bez TOP 7,comments,Komentarze,96,-3.70518429,0.83534293,0.72313082,0.94755505,-2.91350411,0.00446565,0.71095067,8.28719074,-1.55709933,78.42811195,-10.78594403
without_top7,Bez TOP 7,shares,Udostępnienia,96,-5.79675505,0.94684007,0.78343099,1.11024915,-0.64592672,0.51990058,0.59671852,9.44407444,-0.50538688,92.76459108,-3.61770446
without_top7,Bez TOP 7,active_reactions,Komentarze + udostępnienia,96,-3.54163490,0.85696766,0.76911956,0.94481576,-3.23278555,0.00169132,0.75207127,8.51060689,-1.35399374,81.12273619,-9.43863190
